,Navn,Stasjon,Tid(norsk normaltid),Maksimumstemperatur (døgn),Middeltemperatur (døgn),Minimumstemperatur (døgn),Nedbør (døgn),Høyeste middelvind (døgn),År,Dag nummer
0,Oslo - Blindern,SN18700,2019-01-01 00:00:00+00:00,7.3,4.7,1.8,0.0,10.7,2019,1
1,Oslo - Blindern,SN18700,2019-01-02 00:00:00+00:00,4.9,1.0,-2.5,0.0,10.9,2019,2
2,Oslo - Blindern,SN18700,2019-01-03 00:00:00+00:00,3.2,1.0,-0.6,0.0,6.8,2019,3
3,Oslo - Blindern,SN18700,2019-01-04 00:00:00+00:00,4.9,2.3,-1.1,0.0,2.6,2019,4
4,Oslo - Blindern,SN18700,2019-01-05 00:00:00+00:00,10.4,3.3,0.6,0.0,5.7,2019,5
5,Oslo - Blindern,SN18700,2019-01-06 00:00:00+00:00,2.6,-1.0,-2.5,0.0,2.5,2019,6
6,Oslo - Blindern,SN18700,2019-01-07 00:00:00+00:00,-0.4,-1.0,-2.3,0.0,2.7,2019,7
7,Oslo - Blindern,SN18700,2019-01-08 00:00:00+00:00,2.5,1.3,-0.5,6.8,8.9,2019,8
8,Oslo - Blindern,SN18700,2019-01-09 00:00:00+00:00,2.4,0.3,-1.0,4.2,8.5,2019,9
9,Oslo - Blindern,SN18700,2019-01-10 00:00:00+00:00,0.7,-2.1,-4.1,0.0,2.4,2019,10
10,Oslo - Blindern,SN18700,2019-01-11 00:00:00+00:00,6.2,-0.3,-3.7,0.0,5.8,2019,11
11,Oslo - Blindern,SN18700,2019-01-12 00:00:00+00:00,1.4,-4.3,-6.1,0.0,3.7,2019,12
12,Oslo - Blindern,SN18700,2019-01-13 00:00:00+00:00,0.3,-3.5,-7.5,0.1,4.0,2019,13
13,Oslo - Blindern,SN18700,2019-01-14 00:00:00+00:00,2.6,0.1,-4.4,0.0,11.6,2019,14
14,Oslo - Blindern,SN18700,2019-01-15 00:00:00+00:00,1.2,-3.9,-6.6,0.0,8.4,2019,15
15,Oslo - Blindern,SN18700,2019-01-16 00:00:00+00:00,-3.1,-5.5,-8.6,2.3,4.6,2019,16
16,Oslo - Blindern,SN18700,2019-01-17 00:00:00+00:00,-2.7,-6.4,-9.5,5.8,6.6,2019,17
17,Oslo - Blindern,SN18700,2019-01-18 00:00:00+00:00,0.2,-4.4,-9.5,0.0,4.2,2019,18
18,Oslo - Blindern,SN18700,2019-01-19 00:00:00+00:00,-2.1,-4.7,-8.1,0.0,4.5,2019,19
19,Oslo - Blindern,SN18700,2019-01-20 00:00:00+00:00,-1.4,-5.9,-9.9,0.0,4.0,2019,20
20,Oslo - Blindern,SN18700,2019-01-21 00:00:00+00:00,-3.1,-5.2,-7.6,1.1,4.1,2019,21
21,Oslo - Blindern,SN18700,2019-01-22 00:00:00+00:00,-3.3,-4.1,-6.9,0.0,4.2,2019,22
22,Oslo - Blindern,SN18700,2019-01-23 00:00:00+00:00,-0.6,-1.7,-3.4,0.0,4.3,2019,23
23,Oslo - Blindern,SN18700,2019-01-24 00:00:00+00:00,-0.7,-2.4,-3.1,0.0,2.8,2019,24
24,Oslo - Blindern,SN18700,2019-01-25 00:00:00+00:00,-2.1,-2.9,-3.1,2.8,3.1,2019,25
25,Oslo - Blindern,SN18700,2019-01-26 00:00:00+00:00,-2.9,-4.6,-5.5,2.5,4.1,2019,26
26,Oslo - Blindern,SN18700,2019-01-27 00:00:00+00:00,-4.0,-6.0,-6.6,0.6,8.5,2019,27
27,Oslo - Blindern,SN18700,2019-01-28 00:00:00+00:00,-3.9,-5.2,-6.5,6.0,9.0,2019,28
28,Oslo - Blindern,SN18700,2019-01-29 00:00:00+00:00,-4.6,-10.6,-12.5,2.9,4.0,2019,29
29,Oslo - Blindern,SN18700,2019-01-30 00:00:00+00:00,-7.9,-10.1,-14.1,0.0,4.8,2019,30
30,Oslo - Blindern,SN18700,2019-01-31 00:00:00+00:00,-4.8,-6.4,-9.5,0.5,7.7,2019,31
31,Oslo - Blindern,SN18700,2019-02-01 00:00:00+00:00,-2.1,-2.7,-4.8,2.5,8.2,2019,32
32,Oslo - Blindern,SN18700,2019-02-02 00:00:00+00:00,-2.6,-3.3,-3.7,11.9,8.0,2019,33
33,Oslo - Blindern,SN18700,2019-02-03 00:00:00+00:00,-0.3,-4.6,-7.8,3.5,4.8,2019,34
34,Oslo - Blindern,SN18700,2019-02-04 00:00:00+00:00,-4.0,-7.0,-12.6,0.0,6.1,2019,35
35,Oslo - Blindern,SN18700,2019-02-05 00:00:00+00:00,-0.3,-2.5,-4.2,10.3,6.4,2019,36
